Last Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
,CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,0,,,,0,0
,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.5,,,,0,0
,PARAGON CEYLON PLC,PARA.N0000,0,,,,0,0
,OFFICE EQUIPMENT PLC,OFEQ.N0000,0,,,,0,0
,CEYLON & FOREIGN TRADES PLC,CFT.N0000,0,,,,0,0
,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0,,,,0,0
,TESS AGRO PLC,TESS.N0000,0,,,,0,0
,CEYLINCO INSURANCE PLC,CINS.N0000,1955,,,,0,0
,STANDARD CAPITAL PLC,SING.N0000,0,,,,0,0
,MTD WALKERS PLC,KAPI.N0000,0,,,,0,0
,LANKA CEMENT PLC,LCEM.N0000,0,,,,0,0
,CEYLON PRINTERS PLC,CPRT.N0000,0,,,,0,0
,AGSTAR PLC,AGST.X0000,5,,,,0,0
,ADAM CAPITAL PLC,PCHH.N0000,0,,,,0,0
,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0,,,,0,0
,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,,,,0,0
,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,2600,,,,0,0
,SENKADAGALA FINANCE PLC,SFCL.N0000,90.53,,,,0,0
,TESS AGRO PLC,TESS.X0000,0,,,,0,0
,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0,,,,0,0
,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,0,,,,0,0
,ADAM INVESTMENTS PLC,AINV.N0000,0,,,,0,0
,SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,17987,,,,0,0
01:04 PM,CONVENIENCE FOODS (LANKA )PLC,SOY.N0000,1250,11,192,239015.75,45,3.73
01:04 PM,ARPICO INSURANCE PLC,AINS.N0000,22.4,16,2315,52068.5,0.2,0.9
01:07 PM,TRANS ASIA HOTELS PLC,TRAN.N0000,58.6,7,1210,70851.1,0.5,0.86
01:07 PM,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,154.25,7,2020,311760,-3,-1.91
01:10 PM,SERENDIB HOTELS PLC,SHOT.X0000,11,5,107,1179.9,0.4,3.77
01:21 PM,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,11.6,3,870,10091,0,0
01:24 PM,C T LAND DEVELOPMENT PLC,CTLD.N0000,25.5,7,15010,383255.5,0,0
01:25 PM,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,16.8,1,10,160,0,0
01:26 PM,KAHAWATTE PLANTATIONS PLC,KAHA.N0000,27.9,4,110,3070,-0.1,-0.36
01:27 PM,MAHAWELI REACH HOTELS PLC,MRH.N0000,14.2,4,630,8946,-0.1,-0.7
01:27 PM,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,6.8,16,11854,80608.3,-0.1,-1.45
01:27 PM,KELSEY DEVELOPMENTS PLC,KDL.N0000,32.5,1,10,321,0,0
01:36 PM,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,750,3,5,3913,0,0
01:36 PM,HIKKADUWA BEACH RESORT PLC,CITH.N0000,6,5,5375,32248,0.1,1.69
